sold by,publisher.type,genre,avg.review,daily.sales,total.reviews,sale.price
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.61,84.32,132,7.78
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.62,66.82,108,13.3
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.35,73.55,110,4.08
"Amazon Digital Services,  Inc.",indie,non_fiction,4.65,49.87,104,15.47
"Amazon Digital Services,  Inc.",single author,non_fiction,4.27,44.98,116,13.77
Idea & Design Works,small/medium,adult_fiction,4.73,61.56,155,11.21
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.88,109.45,191,5.1
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.33,48.38,111,17.1
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.85,154.7,193,6.99
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.43,66.63,123,15.26
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.44,114.59,173,12.01
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.2,112.75,126,9.44
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.34,69.02,106,10.18
"Amazon Digital Services,  Inc.",indie,non_fiction,4.38,56.8,82,14.08
Penguin Group (USA) LLC,big five,non_fiction,4.98,95.48,97,16.4
Simon and Schuster Digital Sales Inc,big five,adult_fiction,3.77,61.45,142,6.06
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.09,83.08,103,9.04
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.54,67.91,107,14.44
Penguin Group (USA) LLC,big five,YA_fiction,4.25,101.56,159,11.7
"Amazon Digital Services,  Inc.",single author,YA_fiction,3.29,116.74,170,10.27
Random House LLC,big five,YA_fiction,4.98,63.989999999999995,156,7.5
"Amazon Digital Services,  Inc.",indie,non_fiction,4.72,44.99,93,15.53
"Amazon Digital Services,  Inc.",indie,non_fiction,4.65,60.3,124,12.69
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.49,77.62,154,12.44
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.37,123.55,188,10.31
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.46,42.28,86,15.94
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.42,99.97,185,5.87
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.51,70.73,113,13.71
"Amazon Digital Services,  Inc.",single author,non_fiction,4.8,78.3,98,14.33
Random House LLC,big five,non_fiction,4.15,71.69,101,18.72
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.25,71.72,167,4.03
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.66,107.56,194,7.4
"Amazon Digital Services,  Inc.",single author,non_fiction,4.46,85.57,110,15.84
"Amazon Digital Services,  Inc.",single author,non_fiction,4.15,55.45,88,11.61
Random House LLC,big five,adult_fiction,4.38,94.6,147,11.79
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.7,82.47,98,6.08
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.65,135.24,174,8.86
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.52,123.26,156,9.82
Random House LLC,big five,YA_fiction,4.52,87.24,162,9.31
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.44,115.94,182,11.62
"Amazon Digital Services,  Inc.",indie,non_fiction,4.59,47.72,90,14.54
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,3.48,64.2,163,9.1
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.68,90.09,148,10.88
Simon and Schuster Digital Sales Inc,big five,YA_fiction,4.41,119.35,179,9.48
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.07,75.42,67,14.23
"Amazon Digital Services,  Inc.",indie,non_fiction,4.06,93.32,122,11.53
"Amazon Digital Services,  Inc.",indie,non_fiction,4.19,79.7,119,12.32
HarperCollins Publishers,big five,adult_fiction,4.5,130.24,126,7.31
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.61,64.44,104,15.06
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.08,83.98,140,8.42
Random House LLC,big five,non_fiction,4.57,70.63,103,16.31
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.82,118.85,166,10.74
Macmillan,big five,non_fiction,4.18,76.76,123,12.33
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.35,108.01,176,9.46
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.17,100.74,161,8.52
Random House LLC,big five,YA_fiction,4.54,143.38,167,4.88
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.43,105.86,142,7.63
"Amazon Digital Services,  Inc.",indie,non_fiction,4.72,66.41,112,15.04
Random House LLC,big five,YA_fiction,4.5,115.8,170,7.1
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.31,44.43,80,14.74
Penguin Group (USA) LLC,big five,non_fiction,4.29,46.68,101,16.15
"Amazon Digital Services,  Inc.",single author,adult_fiction,3.6,92.01,160,6.07
"Amazon Digital Services,  Inc.",amazon,YA_fiction,3.86,136.23,184,8.7
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.66,100.49,184,8.17
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.5,82.55,128,5.68
Random House LLC,big five,adult_fiction,3.48,104.53,110,10.61
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.1,136.46,175,8.47
Random House LLC,big five,non_fiction,3.59,66.01,112,12.78
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.21,55.54,113,9.62
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.45,103.59,132,5.89
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.23,95.84,192,12.09
"Amazon Digital Services,  Inc.",single author,non_fiction,3.5,50.71,81,15.93
"Amazon Digital Services,  Inc.",indie,non_fiction,4.67,51.1,85,12.35
"Amazon Digital Services,  Inc.",indie,adult_fiction,3.91,84.43,128,6.42
HarperCollins Publishing,big five,adult_fiction,4.59,66.06,115,9.87
HarperCollins Publishers,big five,adult_fiction,3.5,90.88,142,4.57
HarperCollins Publishers,big five,non_fiction,4.48,50.03,91,13.99
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3.57,79.87,102,9.86
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.45,90,115,8.8
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.5,87.38,170,7.92
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3.8,78.74,140,8.84
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.16,78.3,172,8.17
Macmillan,big five,YA_fiction,3.98,85.95,144,9.93
"Amazon Digital Services,  Inc.",single author,YA_fiction,3.98,106.85,160,10.46
Random House LLC,big five,adult_fiction,4.2,80.63,119,10.42
Simon and Schuster Digital Sales Inc,big five,YA_fiction,4.98,84.3,172,8.47
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.36,83.43,131,7.99
"Amazon Digital Services,  Inc.",indie,non_fiction,4.36,55.28,101,14.98
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.57,87.9,80,6.55
"Amazon Digital Services,  Inc.",single author,non_fiction,4.95,70.11,76,18.48
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.31,70.91,96,16.36
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.41,56.64,106,18.48
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.83,114.17,173,5.76
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.77,85.25,108,8.59
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,3.93,66.68,165,9.65
Simon and Schuster Digital Sales Inc,big five,non_fiction,4.05,75.77,150,16.46
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.23,94.84,138,7.43
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.38,115.53,200,6.55
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.32,62.55,114,8.01
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.45,73.69,178,8.37
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.39,121.77,127,7.68
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.46,22.51,124,14.74
Hachette Book Group,big five,adult_fiction,4.22,105.27,133,6.42
Random House LLC,big five,non_fiction,4.36,71.33,116,12.9
"Amazon Digital Services,  Inc.",indie,non_fiction,3.7,72,107,15.57
Random House LLC,big five,YA_fiction,4.6,159.13,198,2.03
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.76,97.18,129,8.11
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.62,80.4,155,8.85
Hachette Book Group,big five,adult_fiction,4.5,109.79,153,4.88
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.5,106.35,181,7.11
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.48,60.39,103,17.12
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.27,70.99,95,13.29
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3.98,89.73,138,8.07
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.09,59.8,110,13.56
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.44,59.94,116,10.48
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.55,24.83,129,9.43
"Amazon Digital Services,  Inc.",indie,non_fiction,4.39,36.93,88,13.86
"Amazon Digital Services,  Inc.",single author,adult_fiction,3.51,105.88,152,10.11
Random House LLC,big five,YA_fiction,4.42,73.65,164,11.27
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.7,136.09,190,6.2
Random House LLC,big five,non_fiction,3,43.11,102,16.92
Macmillan,big five,YA_fiction,4.54,112.49,176,7.54
Random House LLC,big five,adult_fiction,4.5,103.35,140,8.7
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.55,99.14,157,5.95
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3.97,62.31,107,10.63
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3.86,97.1,145,7.56
Simon and Schuster Digital Sales Inc,big five,non_fiction,4.36,63.89999999999999,117,15.26
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.75,141.2,199,7.63
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.33,38.8,81,10.17
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.64,74.18,199,8.72
HarperCollins Publishers,big five,non_fiction,4.7,67.44,118,14.05
HarperCollins Publishers,big five,adult_fiction,4.31,105.78,125,4.81
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.43,86.83,143,7.8
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.98,53.14,139,7.06
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.56,90.07,114,8.22
HarperCollins Publishers,big five,adult_fiction,4.4,64.7,80,5.02
"Amazon Digital Services,  Inc.",amazon,adult_fiction,4.88,86.52,139,5.33
Random House LLC,big five,adult_fiction,4.51,98.27,135,10.28
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.29,79.38,103,12.03
"Amazon Digital Services,  Inc.",indie,non_fiction,4.33,63.709999999999994,126,12.63
Penguin Group (USA) LLC,big five,non_fiction,3.91,64.68,111,14.42
"Amazon Digital Services,  Inc.",single author,non_fiction,4.33,67.95,112,13.4
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.52,86.51,96,13.25
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.46,65.65,89,14.67
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.26,37.23,99,14.72
Penguin Group (USA) LLC,big five,adult_fiction,4.33,43.32,110,5.62
Random House LLC,big five,non_fiction,4.4,67.21,80,15.86
HarperCollins Publishers,big five,non_fiction,4.39,61.46,84,18.96
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.9,75.44,138,17.05
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.3,118.29,201,9.15
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.35,104.37,181,9.88
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.21,44.77,100,8.87
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.83,65.5,115,8.53
HarperCollins Publishers,big five,YA_fiction,4.33,92.61,198,10.96
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.71,60.05,86,14.27
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.1,91.31,141,7.24
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,3.86,103.86,223,4.89
"Amazon Digital Services,  Inc.",amazon,non_fiction,4.5,88.01,97,18.15
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.32,64.03,112,10.45
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.25,139.23,169,9.78
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.59,119.82,204,6.36
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.71,75.12,98,11.9
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.36,101.94,195,8.7
Random House LLC,big five,YA_fiction,4.33,113.82,175,7.92
Penguin Group (USA) LLC,big five,YA_fiction,4.5,42.09,190,7.16
Penguin Group (USA) LLC,big five,non_fiction,4.2,78.23,97,15.23
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,2,133.77,167,9.63
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.87,82.49,148,6.41
Random House LLC,big five,non_fiction,3.83,70.63,90,16.79
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.16,72.59,105,14.84
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.37,133.98,156,4.16
"Amazon Digital Services,  Inc.",single author,non_fiction,3.9,68.89,100,14.07
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.98,94.22,116,7.7
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,3.29,111.88,171,6.69
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.42,110.98,161,8.16
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.09,65.82,108,16.09
Simon and Schuster Digital Sales Inc,big five,YA_fiction,4.79,129.12,177,7.42
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.37,118.96,153,9.09
"Amazon Digital Services,  Inc.",indie,YA_fiction,3.88,149.89,164,6.84
"Amazon Digital Services,  Inc.",single author,YA_fiction,2.48,105.48,191,9.43
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.48,38.66,84,8.75
Random House LLC,big five,non_fiction,4.12,48.64,63,14.19
"Amazon Digital Services,  Inc.",amazon,non_fiction,4.08,75.4,68,17.68
Penguin Group (USA) LLC,big five,adult_fiction,4.59,97.18,110,7.01
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.15,93.67,166,10.38
Random House LLC,big five,adult_fiction,4.58,95.7,109,10.78
Simon and Schuster Digital Sales Inc,big five,adult_fiction,4.79,84.18,116,9.54
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.39,120.55,196,7.03
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.6,116.04,209,9.68
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.28,103.85,172,10.29
Random House LLC,big five,non_fiction,3.75,46.13,124,15.71
"Amazon Digital Services,  Inc.",indie,adult_fiction,3.5,65.6,112,9.81
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.87,100.19,159,8.44
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.88,75.32,193,10.25
Penguin Group (USA) LLC,big five,adult_fiction,3.77,54.08,132,9.97
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.22,65.04,111,14.96
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.8,104.89,174,9.31
"Amazon Digital Services,  Inc.",indie,non_fiction,4.5,84.07,133,8.45
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.52,131.56,162,9.68
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.44,94.45,115,7.58
HarperCollins Publishers,big five,YA_fiction,4.34,107.08,178,10.72
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.87,182.1,167,5.81
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.33,100,159,8.31
"Amazon Digital Services,  Inc.",indie,non_fiction,4.62,80.31,128,13.49
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.39,42.09,77,14.54
"Amazon Digital Services,  Inc.",indie,non_fiction,4.69,93.56,102,14.47
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.04,80.23,128,8.14
Macmillan,big five,YA_fiction,4.98,142.68,214,9.93
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.55,112.98,181,6.72
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.98,118.71,211,5.8
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.66,136.06,215,4.08
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.44,85.93,161,7.38
"Amazon Digital Services,  Inc.",single author,YA_fiction,2.93,126.72,167,7.24
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.41,38.35,108,13.12
"Amazon Digital Services,  Inc.",amazon,YA_fiction,4.43,95.47,168,8.45
Penguin Group (USA) LLC,big five,adult_fiction,4.92,81.13,151,6.94
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.64,53.77,90,14.8
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,3.53,117.53,177,7.36
Random House LLC,big five,non_fiction,4.39,87.01,128,18.4
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,3.9,148.29,204,7.77
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.38,46.31,128,8.69
"Amazon Digital Services,  Inc.",indie,non_fiction,4.61,48.41,94,14.68
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.53,65.96,112,4.09
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.46,85.72,112,8.27
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.28,75.71,116,10.26
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.55,74.15,102,8.47
Simon and Schuster Digital Sales Inc,big five,adult_fiction,4.58,104.99,128,10.12
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.57,82.95,129,8.64
