date,Hires,schools_closed,pubs_closed,shops_closed,eating_places_closed,stay_at_home,household_mixing_indoors_banned,wfh,rule_of_6_indoors,curfew,eat_out_to_help_out,day,month,year
2010-08-24,17006,0,0,0,0,0,0,0,0,0,0,Tue,Aug,2010
2010-08-25,10062,0,0,0,0,0,0,0,0,0,0,Wed,Aug,2010
2010-08-26,9875,0,0,0,0,0,0,0,0,0,0,Thu,Aug,2010
2010-08-27,12854,0,0,0,0,0,0,0,0,0,0,Fri,Aug,2010
2010-08-28,10116,0,0,0,0,0,0,0,0,0,0,Sat,Aug,2010
2010-08-29,7811,0,0,0,0,0,0,0,0,0,0,Sun,Aug,2010
2010-08-30,10534,0,0,0,0,0,0,0,0,0,0,Mon,Aug,2010
2010-08-31,17508,0,0,0,0,0,0,0,0,0,0,Tue,Aug,2010
2010-09-01,19332,0,0,0,0,0,0,0,0,0,0,Wed,Sep,2010
2010-09-02,20909,0,0,0,0,0,0,0,0,0,0,Thu,Sep,2010
2010-09-03,20113,0,0,0,0,0,0,0,0,0,0,Fri,Sep,2010
2010-09-04,14373,0,0,0,0,0,0,0,0,0,0,Sat,Sep,2010
2010-09-05,12924,0,0,0,0,0,0,0,0,0,0,Sun,Sep,2010
2010-09-06,16841,0,0,0,0,0,0,0,0,0,0,Mon,Sep,2010
2010-09-07,25361,0,0,0,0,0,0,0,0,0,0,Tue,Sep,2010
2010-09-08,18727,0,0,0,0,0,0,0,0,0,0,Wed,Sep,2010
2010-09-09,20774,0,0,0,0,0,0,0,0,0,0,Thu,Sep,2010
2010-09-10,19532,0,0,0,0,0,0,0,0,0,0,Fri,Sep,2010
2010-09-11,13383,0,0,0,0,0,0,0,0,0,0,Sat,Sep,2010
2010-09-12,14002,0,0,0,0,0,0,0,0,0,0,Sun,Sep,2010
2010-09-13,18037,0,0,0,0,0,0,0,0,0,0,Mon,Sep,2010
2010-09-14,17026,0,0,0,0,0,0,0,0,0,0,Tue,Sep,2010
2010-09-15,20890,0,0,0,0,0,0,0,0,0,0,Wed,Sep,2010
2010-09-16,20433,0,0,0,0,0,0,0,0,0,0,Thu,Sep,2010
2010-09-17,20488,0,0,0,0,0,0,0,0,0,0,Fri,Sep,2010
2010-09-18,15495,0,0,0,0,0,0,0,0,0,0,Sat,Sep,2010
2010-09-19,11492,0,0,0,0,0,0,0,0,0,0,Sun,Sep,2010
2010-09-20,20169,0,0,0,0,0,0,0,0,0,0,Mon,Sep,2010
2010-09-21,22906,0,0,0,0,0,0,0,0,0,0,Tue,Sep,2010
2010-09-22,23905,0,0,0,0,0,0,0,0,0,0,Wed,Sep,2010
2010-09-23,17729,0,0,0,0,0,0,0,0,0,0,Thu,Sep,2010
2010-09-24,18053,0,0,0,0,0,0,0,0,0,0,Fri,Sep,2010
2010-09-25,14010,0,0,0,0,0,0,0,0,0,0,Sat,Sep,2010
2010-09-26,7890,0,0,0,0,0,0,0,0,0,0,Sun,Sep,2010
2010-09-27,18789,0,0,0,0,0,0,0,0,0,0,Mon,Sep,2010
2010-09-28,21554,0,0,0,0,0,0,0,0,0,0,Tue,Sep,2010
2010-09-29,13899,0,0,0,0,0,0,0,0,0,0,Wed,Sep,2010
2010-09-30,21823,0,0,0,0,0,0,0,0,0,0,Thu,Sep,2010
2010-10-01,11424,0,0,0,0,0,0,0,0,0,0,Fri,Oct,2010
2010-10-02,10704,0,0,0,0,0,0,0,0,0,0,Sat,Oct,2010
2010-10-03,8237,0,0,0,0,0,0,0,0,0,0,Sun,Oct,2010
2010-10-04,23688,0,0,0,0,0,0,0,0,0,0,Mon,Oct,2010
2010-10-05,22054,0,0,0,0,0,0,0,0,0,0,Tue,Oct,2010
2010-10-06,20114,0,0,0,0,0,0,0,0,0,0,Wed,Oct,2010
2010-10-07,24072,0,0,0,0,0,0,0,0,0,0,Thu,Oct,2010
2010-10-08,22886,0,0,0,0,0,0,0,0,0,0,Fri,Oct,2010
2010-10-09,14463,0,0,0,0,0,0,0,0,0,0,Sat,Oct,2010
2010-10-10,14871,0,0,0,0,0,0,0,0,0,0,Sun,Oct,2010
2010-10-11,21986,0,0,0,0,0,0,0,0,0,0,Mon,Oct,2010
2010-10-12,23016,0,0,0,0,0,0,0,0,0,0,Tue,Oct,2010
2010-10-13,22251,0,0,0,0,0,0,0,0,0,0,Wed,Oct,2010
2010-10-14,21582,0,0,0,0,0,0,0,0,0,0,Thu,Oct,2010
2010-10-15,20934,0,0,0,0,0,0,0,0,0,0,Fri,Oct,2010
2010-10-16,12735,0,0,0,0,0,0,0,0,0,0,Sat,Oct,2010
2010-10-17,12764,0,0,0,0,0,0,0,0,0,0,Sun,Oct,2010
2010-10-18,20464,0,0,0,0,0,0,0,0,0,0,Mon,Oct,2010
2010-10-19,17964,0,0,0,0,0,0,0,0,0,0,Tue,Oct,2010
2010-10-20,20750,0,0,0,0,0,0,0,0,0,0,Wed,Oct,2010
2010-10-21,21161,0,0,0,0,0,0,0,0,0,0,Thu,Oct,2010
2010-10-22,20164,0,0,0,0,0,0,0,0,0,0,Fri,Oct,2010
2010-10-23,11584,0,0,0,0,0,0,0,0,0,0,Sat,Oct,2010
2010-10-24,11259,0,0,0,0,0,0,0,0,0,0,Sun,Oct,2010
2010-10-25,18430,0,0,0,0,0,0,0,0,0,0,Mon,Oct,2010
2010-10-26,13950,0,0,0,0,0,0,0,0,0,0,Tue,Oct,2010
2010-10-27,19559,0,0,0,0,0,0,0,0,0,0,Wed,Oct,2010
2010-10-28,19995,0,0,0,0,0,0,0,0,0,0,Thu,Oct,2010
2010-10-29,19119,0,0,0,0,0,0,0,0,0,0,Fri,Oct,2010
2010-10-30,13493,0,0,0,0,0,0,0,0,0,0,Sat,Oct,2010
2010-10-31,8739,0,0,0,0,0,0,0,0,0,0,Sun,Oct,2010
2010-11-01,19785,0,0,0,0,0,0,0,0,0,0,Mon,Nov,2010
2010-11-02,21754,0,0,0,0,0,0,0,0,0,0,Tue,Nov,2010
2010-11-03,27964,0,0,0,0,0,0,0,0,0,0,Wed,Nov,2010
2010-11-04,22424,0,0,0,0,0,0,0,0,0,0,Thu,Nov,2010
2010-11-05,15815,0,0,0,0,0,0,0,0,0,0,Fri,Nov,2010
2010-11-06,11877,0,0,0,0,0,0,0,0,0,0,Sat,Nov,2010
2010-11-07,9331,0,0,0,0,0,0,0,0,0,0,Sun,Nov,2010
2010-11-08,11328,0,0,0,0,0,0,0,0,0,0,Mon,Nov,2010
2010-11-09,16026,0,0,0,0,0,0,0,0,0,0,Tue,Nov,2010
2010-11-10,19767,0,0,0,0,0,0,0,0,0,0,Wed,Nov,2010
2010-11-11,12901,0,0,0,0,0,0,0,0,0,0,Thu,Nov,2010
2010-11-12,14534,0,0,0,0,0,0,0,0,0,0,Fri,Nov,2010
2010-11-13,12123,0,0,0,0,0,0,0,0,0,0,Sat,Nov,2010
2010-11-14,6235,0,0,0,0,0,0,0,0,0,0,Sun,Nov,2010
2010-11-15,18086,0,0,0,0,0,0,0,0,0,0,Mon,Nov,2010
2010-11-16,18764,0,0,0,0,0,0,0,0,0,0,Tue,Nov,2010
2010-11-17,17005,0,0,0,0,0,0,0,0,0,0,Wed,Nov,2010
2010-11-18,15974,0,0,0,0,0,0,0,0,0,0,Thu,Nov,2010
2010-11-19,18545,0,0,0,0,0,0,0,0,0,0,Fri,Nov,2010
2010-11-20,10806,0,0,0,0,0,0,0,0,0,0,Sat,Nov,2010
2010-11-21,8356,0,0,0,0,0,0,0,0,0,0,Sun,Nov,2010
2010-11-22,17258,0,0,0,0,0,0,0,0,0,0,Mon,Nov,2010
2010-11-23,17427,0,0,0,0,0,0,0,0,0,0,Tue,Nov,2010
2010-11-24,18628,0,0,0,0,0,0,0,0,0,0,Wed,Nov,2010
2010-11-25,16822,0,0,0,0,0,0,0,0,0,0,Thu,Nov,2010
2010-11-26,16092,0,0,0,0,0,0,0,0,0,0,Fri,Nov,2010
2010-11-27,7867,0,0,0,0,0,0,0,0,0,0,Sat,Nov,2010
2010-11-28,6866,0,0,0,0,0,0,0,0,0,0,Sun,Nov,2010
2010-11-29,16681,0,0,0,0,0,0,0,0,0,0,Mon,Nov,2010
2010-11-30,9263,0,0,0,0,0,0,0,0,0,0,Tue,Nov,2010
2010-12-01,9848,0,0,0,0,0,0,0,0,0,0,Wed,Dec,2010
2010-12-02,7356,0,0,0,0,0,0,0,0,0,0,Thu,Dec,2010
2010-12-03,8264,0,0,0,0,0,0,0,0,0,0,Fri,Dec,2010
2010-12-04,7857,0,0,0,0,0,0,0,0,0,0,Sat,Dec,2010
2010-12-05,8321,0,0,0,0,0,0,0,0,0,0,Sun,Dec,2010
2010-12-06,13855,0,0,0,0,0,0,0,0,0,0,Mon,Dec,2010
2010-12-07,15033,0,0,0,0,0,0,0,0,0,0,Tue,Dec,2010
2010-12-08,15225,0,0,0,0,0,0,0,0,0,0,Wed,Dec,2010
2010-12-09,16171,0,0,0,0,0,0,0,0,0,0,Thu,Dec,2010
2010-12-10,15602,0,0,0,0,0,0,0,0,0,0,Fri,Dec,2010
2010-12-11,10328,0,0,0,0,0,0,0,0,0,0,Sat,Dec,2010
2010-12-12,8585,0,0,0,0,0,0,0,0,0,0,Sun,Dec,2010
2010-12-13,14997,0,0,0,0,0,0,0,0,0,0,Mon,Dec,2010
2010-12-14,15550,0,0,0,0,0,0,0,0,0,0,Tue,Dec,2010
2010-12-15,13412,0,0,0,0,0,0,0,0,0,0,Wed,Dec,2010
2010-12-16,10833,0,0,0,0,0,0,0,0,0,0,Thu,Dec,2010
2010-12-17,10366,0,0,0,0,0,0,0,0,0,0,Fri,Dec,2010
2010-12-18,2805,0,0,0,0,0,0,0,0,0,0,Sat,Dec,2010
2010-12-19,2764,0,0,0,0,0,0,0,0,0,0,Sun,Dec,2010
2010-12-20,6876,0,0,0,0,0,0,0,0,0,0,Mon,Dec,2010
2010-12-21,7879,0,0,0,0,0,0,0,0,0,0,Tue,Dec,2010
2010-12-22,9718,0,0,0,0,0,0,0,0,0,0,Wed,Dec,2010
2010-12-23,8867,0,0,0,0,0,0,0,0,0,0,Thu,Dec,2010
2010-12-24,5402,0,0,0,0,0,0,0,0,0,0,Fri,Dec,2010
2010-12-25,5621,0,0,0,0,0,0,0,0,0,0,Sat,Dec,2010
2010-12-26,4383,0,0,0,0,0,0,0,0,0,0,Sun,Dec,2010
2010-12-27,3971,0,0,0,0,0,0,0,0,0,0,Mon,Dec,2010
2010-12-28,3763,0,0,0,0,0,0,0,0,0,0,Tue,Dec,2010
2010-12-29,7010,0,0,0,0,0,0,0,0,0,0,Wed,Dec,2010
2010-12-30,7464,0,0,0,0,0,0,0,0,0,0,Thu,Dec,2010
2010-12-31,7448,0,0,0,0,0,0,0,0,0,0,Fri,Dec,2010
2011-01-01,4555,0,0,0,0,0,0,0,0,0,0,Sat,Jan,2011
2011-01-02,6250,0,0,0,0,0,0,0,0,0,0,Sun,Jan,2011
2011-01-03,7262,0,0,0,0,0,0,0,0,0,0,Mon,Jan,2011
2011-01-04,13430,0,0,0,0,0,0,0,0,0,0,Tue,Jan,2011
2011-01-05,13757,0,0,0,0,0,0,0,0,0,0,Wed,Jan,2011
2011-01-06,9595,0,0,0,0,0,0,0,0,0,0,Thu,Jan,2011
2011-01-07,9294,0,0,0,0,0,0,0,0,0,0,Fri,Jan,2011
2011-01-08,9338,0,0,0,0,0,0,0,0,0,0,Sat,Jan,2011
2011-01-09,10558,0,0,0,0,0,0,0,0,0,0,Sun,Jan,2011
2011-01-10,16058,0,0,0,0,0,0,0,0,0,0,Mon,Jan,2011
2011-01-11,16412,0,0,0,0,0,0,0,0,0,0,Tue,Jan,2011
2011-01-12,13894,0,0,0,0,0,0,0,0,0,0,Wed,Jan,2011
2011-01-13,15911,0,0,0,0,0,0,0,0,0,0,Thu,Jan,2011
2011-01-14,14834,0,0,0,0,0,0,0,0,0,0,Fri,Jan,2011
2011-01-15,11851,0,0,0,0,0,0,0,0,0,0,Sat,Jan,2011
2011-01-16,10471,0,0,0,0,0,0,0,0,0,0,Sun,Jan,2011
2011-01-17,10835,0,0,0,0,0,0,0,0,0,0,Mon,Jan,2011
2011-01-18,17703,0,0,0,0,0,0,0,0,0,0,Tue,Jan,2011
2011-01-19,18350,0,0,0,0,0,0,0,0,0,0,Wed,Jan,2011
2011-01-20,17957,0,0,0,0,0,0,0,0,0,0,Thu,Jan,2011
2011-01-21,16509,0,0,0,0,0,0,0,0,0,0,Fri,Jan,2011
2011-01-22,10658,0,0,0,0,0,0,0,0,0,0,Sat,Jan,2011
2011-01-23,9911,0,0,0,0,0,0,0,0,0,0,Sun,Jan,2011
2011-01-24,17193,0,0,0,0,0,0,0,0,0,0,Mon,Jan,2011
2011-01-25,17045,0,0,0,0,0,0,0,0,0,0,Tue,Jan,2011
2011-01-26,16396,0,0,0,0,0,0,0,0,0,0,Wed,Jan,2011
2011-01-27,16519,0,0,0,0,0,0,0,0,0,0,Thu,Jan,2011
2011-01-28,15538,0,0,0,0,0,0,0,0,0,0,Fri,Jan,2011
2011-01-29,9379,0,0,0,0,0,0,0,0,0,0,Sat,Jan,2011
2011-01-30,9455,0,0,0,0,0,0,0,0,0,0,Sun,Jan,2011
2011-01-31,16260,0,0,0,0,0,0,0,0,0,0,Mon,Jan,2011
2011-02-01,16331,0,0,0,0,0,0,0,0,0,0,Tue,Feb,2011
2011-02-02,18102,0,0,0,0,0,0,0,0,0,0,Wed,Feb,2011
2011-02-03,15593,0,0,0,0,0,0,0,0,0,0,Thu,Feb,2011
2011-02-04,14938,0,0,0,0,0,0,0,0,0,0,Fri,Feb,2011
2011-02-05,8442,0,0,0,0,0,0,0,0,0,0,Sat,Feb,2011
2011-02-06,9437,0,0,0,0,0,0,0,0,0,0,Sun,Feb,2011
2011-02-07,16537,0,0,0,0,0,0,0,0,0,0,Mon,Feb,2011
2011-02-08,19829,0,0,0,0,0,0,0,0,0,0,Tue,Feb,2011
2011-02-09,18197,0,0,0,0,0,0,0,0,0,0,Wed,Feb,2011
2011-02-10,11496,0,0,0,0,0,0,0,0,0,0,Thu,Feb,2011
2011-02-11,16070,0,0,0,0,0,0,0,0,0,0,Fri,Feb,2011
2011-02-12,12855,0,0,0,0,0,0,0,0,0,0,Sat,Feb,2011
2011-02-13,7034,0,0,0,0,0,0,0,0,0,0,Sun,Feb,2011
2011-02-14,17836,0,0,0,0,0,0,0,0,0,0,Mon,Feb,2011
2011-02-15,15667,0,0,0,0,0,0,0,0,0,0,Tue,Feb,2011
2011-02-16,18989,0,0,0,0,0,0,0,0,0,0,Wed,Feb,2011
2011-02-17,18938,0,0,0,0,0,0,0,0,0,0,Thu,Feb,2011
2011-02-18,17460,0,0,0,0,0,0,0,0,0,0,Fri,Feb,2011
2011-02-19,6250,0,0,0,0,0,0,0,0,0,0,Sat,Feb,2011
2011-02-20,7882,0,0,0,0,0,0,0,0,0,0,Sun,Feb,2011
2011-02-21,13720,0,0,0,0,0,0,0,0,0,0,Mon,Feb,2011
2011-02-22,15948,0,0,0,0,0,0,0,0,0,0,Tue,Feb,2011
2011-02-23,12936,0,0,0,0,0,0,0,0,0,0,Wed,Feb,2011
2011-02-24,19230,0,0,0,0,0,0,0,0,0,0,Thu,Feb,2011
2011-02-25,18634,0,0,0,0,0,0,0,0,0,0,Fri,Feb,2011
2011-02-26,7749,0,0,0,0,0,0,0,0,0,0,Sat,Feb,2011
2011-02-27,8349,0,0,0,0,0,0,0,0,0,0,Sun,Feb,2011
2011-02-28,13843,0,0,0,0,0,0,0,0,0,0,Mon,Feb,2011
2011-03-01,15774,0,0,0,0,0,0,0,0,0,0,Tue,Mar,2011
2011-03-02,16929,0,0,0,0,0,0,0,0,0,0,Wed,Mar,2011
2011-03-03,16576,0,0,0,0,0,0,0,0,0,0,Thu,Mar,2011
2011-03-04,16971,0,0,0,0,0,0,0,0,0,0,Fri,Mar,2011
2011-03-05,9847,0,0,0,0,0,0,0,0,0,0,Sat,Mar,2011
2011-03-06,7142,0,0,0,0,0,0,0,0,0,0,Sun,Mar,2011
2011-03-07,16192,0,0,0,0,0,0,0,0,0,0,Mon,Mar,2011
2011-03-08,17240,0,0,0,0,0,0,0,0,0,0,Tue,Mar,2011
2011-03-09,18494,0,0,0,0,0,0,0,0,0,0,Wed,Mar,2011
2011-03-10,18794,0,0,0,0,0,0,0,0,0,0,Thu,Mar,2011
2011-03-11,19074,0,0,0,0,0,0,0,0,0,0,Fri,Mar,2011
2011-03-12,15488,0,0,0,0,0,0,0,0,0,0,Sat,Mar,2011
2011-03-13,10526,0,0,0,0,0,0,0,0,0,0,Sun,Mar,2011
2011-03-14,19451,0,0,0,0,0,0,0,0,0,0,Mon,Mar,2011
2011-03-15,19568,0,0,0,0,0,0,0,0,0,0,Tue,Mar,2011
2011-03-16,19643,0,0,0,0,0,0,0,0,0,0,Wed,Mar,2011
2011-03-17,20036,0,0,0,0,0,0,0,0,0,0,Thu,Mar,2011
2011-03-18,14612,0,0,0,0,0,0,0,0,0,0,Fri,Mar,2011
2011-03-19,17801,0,0,0,0,0,0,0,0,0,0,Sat,Mar,2011
2011-03-20,14694,0,0,0,0,0,0,0,0,0,0,Sun,Mar,2011
2011-03-21,20710,0,0,0,0,0,0,0,0,0,0,Mon,Mar,2011
2011-03-22,21792,0,0,0,0,0,0,0,0,0,0,Tue,Mar,2011
2011-03-23,23837,0,0,0,0,0,0,0,0,0,0,Wed,Mar,2011
2011-03-24,23518,0,0,0,0,0,0,0,0,0,0,Thu,Mar,2011
2011-03-25,24343,0,0,0,0,0,0,0,0,0,0,Fri,Mar,2011
2011-03-26,16095,0,0,0,0,0,0,0,0,0,0,Sat,Mar,2011
2011-03-27,17550,0,0,0,0,0,0,0,0,0,0,Sun,Mar,2011
2011-03-28,21602,0,0,0,0,0,0,0,0,0,0,Mon,Mar,2011
2011-03-29,22080,0,0,0,0,0,0,0,0,0,0,Tue,Mar,2011
2011-03-30,18945,0,0,0,0,0,0,0,0,0,0,Wed,Mar,2011
2011-03-31,20831,0,0,0,0,0,0,0,0,0,0,Thu,Mar,2011
2011-04-01,22048,0,0,0,0,0,0,0,0,0,0,Fri,Apr,2011
2011-04-02,19829,0,0,0,0,0,0,0,0,0,0,Sat,Apr,2011
2011-04-03,17294,0,0,0,0,0,0,0,0,0,0,Sun,Apr,2011
2011-04-04,20949,0,0,0,0,0,0,0,0,0,0,Mon,Apr,2011
2011-04-05,16690,0,0,0,0,0,0,0,0,0,0,Tue,Apr,2011
2011-04-06,25597,0,0,0,0,0,0,0,0,0,0,Wed,Apr,2011
2011-04-07,25451,0,0,0,0,0,0,0,0,0,0,Thu,Apr,2011
2011-04-08,26622,0,0,0,0,0,0,0,0,0,0,Fri,Apr,2011
2011-04-09,22323,0,0,0,0,0,0,0,0,0,0,Sat,Apr,2011
2011-04-10,21346,0,0,0,0,0,0,0,0,0,0,Sun,Apr,2011
2011-04-11,22204,0,0,0,0,0,0,0,0,0,0,Mon,Apr,2011
2011-04-12,23651,0,0,0,0,0,0,0,0,0,0,Tue,Apr,2011
2011-04-13,18909,0,0,0,0,0,0,0,0,0,0,Wed,Apr,2011
2011-04-14,22346,0,0,0,0,0,0,0,0,0,0,Thu,Apr,2011
2011-04-15,22974,0,0,0,0,0,0,0,0,0,0,Fri,Apr,2011
2011-04-16,19632,0,0,0,0,0,0,0,0,0,0,Sat,Apr,2011
2011-04-17,22009,0,0,0,0,0,0,0,0,0,0,Sun,Apr,2011
2011-04-18,24032,0,0,0,0,0,0,0,0,0,0,Mon,Apr,2011
2011-04-19,27914,0,0,0,0,0,0,0,0,0,0,Tue,Apr,2011
2011-04-20,27934,0,0,0,0,0,0,0,0,0,0,Wed,Apr,2011
2011-04-21,26547,0,0,0,0,0,0,0,0,0,0,Thu,Apr,2011
2011-04-22,23719,0,0,0,0,0,0,0,0,0,0,Fri,Apr,2011
2011-04-23,19182,0,0,0,0,0,0,0,0,0,0,Sat,Apr,2011
2011-04-24,21313,0,0,0,0,0,0,0,0,0,0,Sun,Apr,2011
2011-04-25,21669,0,0,0,0,0,0,0,0,0,0,Mon,Apr,2011
2011-04-26,22038,0,0,0,0,0,0,0,0,0,0,Tue,Apr,2011
2011-04-27,24349,0,0,0,0,0,0,0,0,0,0,Wed,Apr,2011
2011-04-28,23794,0,0,0,0,0,0,0,0,0,0,Thu,Apr,2011
2011-04-29,19700,0,0,0,0,0,0,0,0,0,0,Fri,Apr,2011
2011-04-30,21574,0,0,0,0,0,0,0,0,0,0,Sat,Apr,2011
2011-05-01,19489,0,0,0,0,0,0,0,0,0,0,Sun,May,2011
2011-05-02,18126,0,0,0,0,0,0,0,0,0,0,Mon,May,2011
2011-05-03,23786,0,0,0,0,0,0,0,0,0,0,Tue,May,2011
2011-05-04,26183,0,0,0,0,0,0,0,0,0,0,Wed,May,2011
2011-05-05,23620,0,0,0,0,0,0,0,0,0,0,Thu,May,2011
2011-05-06,28971,0,0,0,0,0,0,0,0,0,0,Fri,May,2011
2011-05-07,22274,0,0,0,0,0,0,0,0,0,0,Sat,May,2011
2011-05-08,21011,0,0,0,0,0,0,0,0,0,0,Sun,May,2011
2011-05-09,27172,0,0,0,0,0,0,0,0,0,0,Mon,May,2011
2011-05-10,29417,0,0,0,0,0,0,0,0,0,0,Tue,May,2011
2011-05-11,27205,0,0,0,0,0,0,0,0,0,0,Wed,May,2011
2011-05-12,23461,0,0,0,0,0,0,0,0,0,0,Thu,May,2011
2011-05-13,23991,0,0,0,0,0,0,0,0,0,0,Fri,May,2011
2011-05-14,21100,0,0,0,0,0,0,0,0,0,0,Sat,May,2011
2011-05-15,19097,0,0,0,0,0,0,0,0,0,0,Sun,May,2011
2011-05-16,24620,0,0,0,0,0,0,0,0,0,0,Mon,May,2011
2011-05-17,25464,0,0,0,0,0,0,0,0,0,0,Tue,May,2011
2011-05-18,23068,0,0,0,0,0,0,0,0,0,0,Wed,May,2011
2011-05-19,27534,0,0,0,0,0,0,0,0,0,0,Thu,May,2011
2011-05-20,27523,0,0,0,0,0,0,0,0,0,0,Fri,May,2011
2011-05-21,24408,0,0,0,0,0,0,0,0,0,0,Sat,May,2011
2011-05-22,19348,0,0,0,0,0,0,0,0,0,0,Sun,May,2011
2011-05-23,24268,0,0,0,0,0,0,0,0,0,0,Mon,May,2011
2011-05-24,27768,0,0,0,0,0,0,0,0,0,0,Tue,May,2011
2011-05-25,28708,0,0,0,0,0,0,0,0,0,0,Wed,May,2011
2011-05-26,18055,0,0,0,0,0,0,0,0,0,0,Thu,May,2011
2011-05-27,22907,0,0,0,0,0,0,0,0,0,0,Fri,May,2011
2011-05-28,15693,0,0,0,0,0,0,0,0,0,0,Sat,May,2011
2011-05-29,18396,0,0,0,0,0,0,0,0,0,0,Sun,May,2011
2011-05-30,16097,0,0,0,0,0,0,0,0,0,0,Mon,May,2011
2011-05-31,23312,0,0,0,0,0,0,0,0,0,0,Tue,May,2011
2011-06-01,26054,0,0,0,0,0,0,0,0,0,0,Wed,Jun,2011
2011-06-02,26920,0,0,0,0,0,0,0,0,0,0,Thu,Jun,2011
2011-06-03,26641,0,0,0,0,0,0,0,0,0,0,Fri,Jun,2011
2011-06-04,15233,0,0,0,0,0,0,0,0,0,0,Sat,Jun,2011
2011-06-05,8420,0,0,0,0,0,0,0,0,0,0,Sun,Jun,2011
2011-06-06,13812,0,0,0,0,0,0,0,0,0,0,Mon,Jun,2011
2011-06-07,22378,0,0,0,0,0,0,0,0,0,0,Tue,Jun,2011
2011-06-08,23013,0,0,0,0,0,0,0,0,0,0,Wed,Jun,2011
2011-06-09,25061,0,0,0,0,0,0,0,0,0,0,Thu,Jun,2011
2011-06-10,20141,0,0,0,0,0,0,0,0,0,0,Fri,Jun,2011
2011-06-11,21059,0,0,0,0,0,0,0,0,0,0,Sat,Jun,2011
2011-06-12,6061,0,0,0,0,0,0,0,0,0,0,Sun,Jun,2011
2011-06-13,23978,0,0,0,0,0,0,0,0,0,0,Mon,Jun,2011
2011-06-14,28889,0,0,0,0,0,0,0,0,0,0,Tue,Jun,2011
2011-06-15,25643,0,0,0,0,0,0,0,0,0,0,Wed,Jun,2011
2011-06-16,17566,0,0,0,0,0,0,0,0,0,0,Thu,Jun,2011
2011-06-17,15723,0,0,0,0,0,0,0,0,0,0,Fri,Jun,2011
2011-06-18,13721,0,0,0,0,0,0,0,0,0,0,Sat,Jun,2011
2011-06-19,17092,0,0,0,0,0,0,0,0,0,0,Sun,Jun,2011
2011-06-20,20101,0,0,0,0,0,0,0,0,0,0,Mon,Jun,2011
2011-06-21,26780,0,0,0,0,0,0,0,0,0,0,Tue,Jun,2011
2011-06-22,22745,0,0,0,0,0,0,0,0,0,0,Wed,Jun,2011
2011-06-23,24559,0,0,0,0,0,0,0,0,0,0,Thu,Jun,2011
2011-06-24,22137,0,0,0,0,0,0,0,0,0,0,Fri,Jun,2011
2011-06-25,17944,0,0,0,0,0,0,0,0,0,0,Sat,Jun,2011
2011-06-26,23483,0,0,0,0,0,0,0,0,0,0,Sun,Jun,2011
2011-06-27,26243,0,0,0,0,0,0,0,0,0,0,Mon,Jun,2011
2011-06-28,21950,0,0,0,0,0,0,0,0,0,0,Tue,Jun,2011
2011-06-29,28073,0,0,0,0,0,0,0,0,0,0,Wed,Jun,2011
2011-06-30,27297,0,0,0,0,0,0,0,0,0,0,Thu,Jun,2011
2011-07-01,27758,0,0,0,0,0,0,0,0,0,0,Fri,Jul,2011
2011-07-02,22764,0,0,0,0,0,0,0,0,0,0,Sat,Jul,2011
